city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Delhi,28.6600,77.2300,India,IN,Delhi,admin,32226000,16753235
Mumbai,19.0758,72.8775,India,IN,Mahārāshtra,admin,24973000,12478447
Kolkāta,22.5675,88.3700,India,IN,West Bengal,admin,21747000,4496694
Chennai,13.0825,80.2750,India,IN,Tamil Nādu,admin,12395000,6727000
Hyderābād,17.3617,78.4747,India,IN,Telangāna,admin,10494000,6993262
Bangalore,12.9791,77.5913,India,IN,Karnātaka,admin,8443675,8443675
Pune,18.5211,73.8553,India,IN,Mahārāshtra,,8231000,3124458
Ahmedabad,23.0219,72.5797,India,IN,Gujarāt,minor,8009000,5570585
Sūrat,21.2050,72.8400,India,IN,Gujarāt,,6538000,4466826
Prayagraj,25.4500,81.8500,India,IN,Uttar Pradesh,,5954391,5954391
Kanpur,24.2850,72.6933,India,IN,Gujarāt,,5230000,4581268
Kanpur,26.4725,80.3311,India,IN,Uttar Pradesh,,4581268,4581268
Belāhi,25.7167,86.4000,India,IN,Bihār,,4487379,4487379
Vadodara,22.3000,73.2000,India,IN,Gujarāt,,3500000,1670806
Nādampālaiyam,11.1793,77.3760,India,IN,Tamil Nādu,,3458045,3458045
Lucknow,26.8470,80.9470,India,IN,Uttar Pradesh,admin,3382000,3382000
Kannankulam,10.4799,76.1131,India,IN,Kerala,,3243170,3243170
Mahuākherāganj,29.1300,78.9500,India,IN,Uttarākhand,,3198982,3198982
Nagla,29.0100,79.5100,India,IN,Uttarākhand,,3198982,3198982
Jaipur,26.9150,75.8200,India,IN,Rājasthān,admin,3073350,3073350
Kottārasshēri,10.6167,76.5333,India,IN,Kerala,,2952254,2952254
Gorakhpur,22.1688,81.6042,India,IN,Chhattīsgarh,,2500000,1300000
Nāgpur,21.1497,79.0806,India,IN,Mahārāshtra,,2405665,2405665
Guwāhāti,26.1806,91.7502,India,IN,Assam,,2376654,962334
Ghāziābād,28.6667,77.4167,India,IN,Uttar Pradesh,,2375820,2375820
Coimbatore,11.0008,76.9633,India,IN,Tamil Nādu,,2136916,1601438
Patna,25.6100,85.1414,India,IN,Bihār,admin,2046652,1684222
Rājkot,22.2969,70.7984,India,IN,Gujarāt,,2043000,2043000
Vishākhapatnam,17.6939,83.2922,India,IN,Andhra Pradesh,,2035922,2035922
Indore,22.7186,75.8550,India,IN,Madhya Pradesh,,1994397,1994397
Abhepur,30.6667,76.8333,India,IN,Punjab,,1895686,1895686
Gumānwāla,29.9333,77.9000,India,IN,Uttarākhand,,1890422,1890422
Thāne,19.1800,72.9633,India,IN,Mahārāshtra,,1886941,1886941
Bhopāl,23.2500,77.4167,India,IN,Madhya Pradesh,admin,1798218,1798218
Āgra,27.1800,78.0200,India,IN,Uttar Pradesh,,1760285,1585705
Peyanvilai,8.5674,78.1046,India,IN,Tamil Nādu,,1750176,1750176
Pimpri-Chinchwad,18.6278,73.8131,India,IN,Mahārāshtra,,1729320,1729320
Saundhonwāli,30.3331,77.9608,India,IN,Uttarākhand,,1696694,1696694
Ludhiāna,30.9083,75.8486,India,IN,Punjab,,1618879,1618879
Meerut,28.9800,77.7064,India,IN,Uttar Pradesh,,1571434,1571434
Madurai,9.9197,78.1194,India,IN,Tamil Nādu,minor,1561129,1561129
Jamshedpur,22.8000,86.1833,India,IN,Jhārkhand,,1558000,1558000
Nāsik,20.0000,73.7833,India,IN,Mahārāshtra,,1486053,1486053
Farīdābād,28.4167,77.3000,India,IN,Haryāna,,1404653,1404653
Madārpur,26.2270,84.6746,India,IN,Bihār,,1367765,1367765
Najafgarh,28.6125,76.9847,India,IN,Delhi,,1365152,1365152
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564
Madanpur,29.3260,79.1537,India,IN,Uttarākhand,,1260078,1260078
Kamalwaganja Gaur,29.2117,79.4654,India,IN,Uttarākhand,,1260078,1260078
Kalyān,19.2500,73.1500,India,IN,Mahārāshtra,,1246381,1246381
Āsansol,23.6833,86.9667,India,IN,West Bengal,,1243414,563917
Vijayavāda,16.5167,80.6167,India,IN,Andhra Pradesh,,1230000,1048240
Vasai-Virar,19.4700,72.8000,India,IN,Mahārāshtra,,1221233,1221233
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491,1198491
Kalleli,9.2000,76.8833,India,IN,Kerala,,1197412,1197412
Srīnagar,34.0911,74.8061,India,IN,Jammu and Kashmīr,admin,1180570,1180570
Aurangābād,19.8800,75.3200,India,IN,Mahārāshtra,,1175116,1175116
Dhanbād,23.7928,86.4350,India,IN,Jhārkhand,,1162472,1162472
Amritsar,31.6269,74.8770,India,IN,Punjab,,1159227,1159227
Hāora,22.5800,88.3294,India,IN,West Bengal,,1077075,1077075
Rānchi,23.3556,85.3347,India,IN,Jhārkhand,admin,1073440,1073440
Gwalior,26.2125,78.1775,India,IN,Madhya Pradesh,,1069276,1069276
Chandīgarh,30.7364,76.7883,India,IN,Chandīgarh,admin,1055450,1055450
Jodhpur,26.2944,73.0278,India,IN,Rājasthān,,1033918,1033918
Raipur,21.2379,81.6337,India,IN,Chhattīsgarh,admin,1010087,1010087
Warangal,17.9756,79.6011,India,IN,Telangāna,,1005938,704570
Kota,25.1800,75.8300,India,IN,Rājasthān,,1001694,1001694
Bareilly,28.3640,79.4150,India,IN,Uttar Pradesh,,1000000,1000000
Trichinopoly,10.8269,78.6928,India,IN,Tamil Nādu,,916857,916857
Bhayandar,19.3000,72.8500,India,IN,Mahārāshtra,,814655,814655
Narela,28.8500,77.1000,India,IN,Delhi,,809913,809913
Thiruvananthapuram,8.4875,76.9525,India,IN,Kerala,admin,743691,743691
Sahāranpur,29.9640,77.5460,India,IN,Uttar Pradesh,,705478,705478
Āvadi,13.1147,80.1098,India,IN,Tamil Nādu,,695000,345996
Salem,11.6500,78.1667,India,IN,Tamil Nādu,,693236,693236
Kochi,9.9667,76.2833,India,IN,Kerala,,677381,677381
Gorakhpur,26.7611,83.3667,India,IN,Uttar Pradesh,,673446,673446
Guntūr,16.3000,80.4500,India,IN,Andhra Pradesh,,670073,647508
Mangalore,12.8717,74.8425,India,IN,Karnātaka,,623841,623841
Calicut,11.2478,75.7803,India,IN,Kerala,minor,609224,609224
Raurkela,22.2492,84.8828,India,IN,Odisha,,552970,552970
Nellore,14.4333,79.9667,India,IN,Andhra Pradesh,,547621,547621
Agartala,23.8333,91.2667,India,IN,Tripura,admin,522613,522613
Ulhāsnagar,19.2167,73.1500,India,IN,Mahārāshtra,,506098,506098
Gaya,24.7500,85.0167,India,IN,Bihār,,474093,474093
Ambattūr,13.0983,80.1622,India,IN,Tamil Nādu,,466205,466205
Salt Lake City,22.6100,88.4000,India,IN,West Bengal,,403316,403316
Quilon,8.8853,76.5864,India,IN,Kerala,,397419,397419
Mulangodi,9.0000,76.6167,India,IN,Kerala,,397419,397419
Bhātpāra,22.8664,88.4011,India,IN,West Bengal,,386019,386019
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182,384182
Brahmapur,19.3200,84.7800,India,IN,Odisha,,355823,355823
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831,341831
Muzaffarpur,26.1200,85.3833,India,IN,Bihār,,333200,333200
Trichūr,10.5200,76.2100,India,IN,Kerala,,315596,315596
Kulti,23.7300,86.8399,India,IN,West Bengal,,313809,313809
Oulgaret,11.9570,79.7737,India,IN,Tamil Nādu,,300104,300104
Yelahanka,13.1139,77.5983,India,IN,Karnātaka,,300000,300000
Bihār,25.2000,85.5200,India,IN,Bihār,,297268,297268
Darbhanga,26.1570,85.8995,India,IN,Bihār,,296039,296039
Sonpur,25.6934,85.1718,India,IN,Bihār,,288102,288102
Chunchura,22.8956,88.4025,India,IN,West Bengal,,288090,288090
Imphāl,24.8200,93.9500,India,IN,Manipur,admin,268243,268243
Arrah,25.5631,84.6711,India,IN,Bihār,,261430,261430
Kollaka,9.2547,76.5883,India,IN,Kerala,,257519,257519
Amarnāth,19.2090,73.1860,India,IN,Mahārāshtra,,253475,253475
New Delhi,28.6139,77.2089,India,IN,Delhi,primary,249998,249998
Tiruvottiyūr,13.1667,80.3000,India,IN,Tamil Nādu,,249446,249446
Puducherry,11.9300,79.8300,India,IN,Puducherry,admin,244377,244377
Alleppey,9.4978,76.3286,India,IN,Kerala,,240991,240991
Katihār,25.5385,87.5704,India,IN,Bihār,,240565,240565
Alwāl,17.5030,78.5070,India,IN,Telangāna,,240000,240000
Wāpi,20.3667,72.9000,India,IN,Gujarāt,,230000,230000
Pallāvaram,12.9677,80.1581,India,IN,Tamil Nādu,,215417,215417
Secunderābād,17.4500,78.5000,India,IN,Telangāna,,213698,213698
Monghyr,25.3810,86.4650,India,IN,Bihār,,213303,213303
Chāpra,25.7808,84.7308,India,IN,Bihār,,212955,201597
